
201019*153012.720         0.0000000
201019*153013.141  59598193.74043069780         0.0000000
201019*153014.155  59598396.18947450070         0.0000000
201019*153015.153  59598298.14017190040         0.0000000
201019*153016.152  59598410.17106150090         0.0000000
201019*153017.150  59598405.20406939830         0.0000000
201019*153018.149  59598195.84499800200         0.0000000
201019*153019.147  59598255.72946590180         0.0000000
201019*153020.145  59598345.54441110040         0.0000000
201019*153021.144  59598336.97923640160         0.0000000
201019*153022.142  59598312.74671579900         0.0000000
201019*153023.141  59598238.91328129920         0.0000000
201019*153024.155  59598334.98182319850         0.0000000
201019*153025.153  59598323.48760060220         0.0000000
201019*153026.151  59598329.36008500310         0.0000000
201019*153027.150  59598243.70084449650         0.0000000
201019*153028.148  59598301.61367390300         0.0000000
201019*153029.147  59598407.06350690130         0.0000000
201019*153030.145  59598472.85272359850         0.0000000
201019*153031.144  59598405.44586730000         0.0000000
201019*153032.142  59598512.70667479930         0.0000000
201019*153033.140  59598519.53128410130         0.0000000
201019*153034.154  59598449.81871289760         0.0000000
201019*153035.153  59598475.96797949820         0.0000000
201019*153036.151  59598474.81045120210         0.0000000
201019*153037.150  59598519.64532899860         0.0000000
201019*153038.148  59598579.01834370200         0.0000000
201019*153039.146  59598506.42355089630         0.0000000
201019*153040.145  59598420.26926469800         0.0000000
201019*153041.143  59598431.15851449970         0.0000000
201019*153042.142  59598514.35044330360         0.0000000
201019*153043.140  59598430.24701169880         0.0000000
201019*153044.154  59598409.22381539640         0.0000000
201019*153045.152  59598383.57489400360         0.0000000
201019*153046.151  59598429.14470189810         0.0000000
201019*153047.149  59598550.74634169790         0.0000000
201019*153048.148  59598459.75400020180         0.0000000
201019*153049.146  59598461.32398039850         0.0000000
201019*153050.144  59598321.63115639980         0.0000000
201019*153051.143  59598360.06984239820         0.0000000
201019*153052.141  59598407.15583129970         0.0000000
201019*153053.140  59598410.54157490280         0.0000000
201019*153054.154  59598359.83784110100         0.0000000
201019*153055.152  59598441.35913749780         0.0000000
201019*153056.150  59598538.00257539750         0.0000000
201019*153057.149  59598506.10919520260         0.0000000
201019*153058.147  59598472.85423760120         0.0000000
201019*153059.146  59598448.13464549930         0.0000000
201019*153100.144  59598346.61398410050         0.0000000
201019*153101.142  59598449.98322959990         0.0000000
201019*153102.141  59598348.70300669970         0.0000000
201019*153103.139  59598195.79380659760         0.0000000
201019*153104.153  59598354.05776169900         0.0000000
201019*153105.152  59598464.38802859930         0.0000000
201019*153106.150  59598389.42712970080         0.0000000
201019*153107.148  59598284.01440340280         0.0000000
201019*153108.147  59598487.49825479840         0.0000000
201019*153109.145  59598498.83488269900         0.0000000
201019*153110.144  59598326.83825969700         0.0000000
201019*153111.142  59598383.44797749820         0.0000000
201019*153112.140  59598226.18105799700         0.0000000
201019*153113.139  59598479.37824010100         0.0000000
201019*153114.153  59598388.59223459660         0.0000000
201019*153115.151  59598307.66319029780         0.0000000
201019*153116.150  59598417.77197840060         0.0000000
201019*153117.148  59598482.25764519720         0.0000000
201019*153118.146  59598358.66150719670         0.0000000
201019*153119.145  59598444.01888179780         0.0000000
201019*153120.143  59598364.31458789860         0.0000000
201019*153121.142  59598474.46586620060         0.0000000
201019*153122.140  59598240.91654690360         0.0000000
201019*153123.154  59598144.32931250330         0.0000000
201019*153124.152  59598464.17016209660         0.0000000
201019*153125.151  59598290.90940330180         0.0000000
201019*153126.149  59598203.36286920310         0.0000000
201019*153127.148  59598319.69221679870         0.0000000
201019*153128.146  59598214.40284469720         0.0000000
201019*153129.144  59598244.71026170250         0.0000000
201019*153130.143  59598438.55230370160         0.0000000
201019*153131.141  59598329.60483209790         0.0000000
201019*153132.140  59598413.38441990320         0.0000000
201019*153133.154  59598359.49116300050         0.0000000
201019*153134.152  59598361.30025299640         0.0000000
201019*153135.150  59598241.35320609810         0.0000000
201019*153136.149  59598081.16491699960         0.0000000
201019*153137.147  59598146.80102629960         0.0000000
201019*153138.146  59598309.27518749980         0.0000000
201019*153139.144  59598285.76556830110         0.0000000
201019*153140.142  59598349.10055779670         0.0000000
201019*153141.141  59598335.92554680260         0.0000000
201019*153142.139  59598285.33589749780         0.0000000
201019*153143.153  59598289.47110439840         0.0000000
201019*153144.152  59598461.19674420360         0.0000000
201019*153145.150  59598310.86546870320         0.0000000
201019*153146.148  59598287.71743349730         0.0000000
201019*153147.147  59598260.75623250010         0.0000000
201019*153148.145  59598251.02238769830         0.0000000
201019*153149.144  59598207.23096779730         0.0000000
201019*153150.142  59598144.60991690310         0.0000000
201019*153151.140  59598227.90114860240         0.0000000
201019*153152.139  59598235.67408200350         0.0000000
201019*153153.153  59598153.09706229720         0.0000000
201019*153154.151  59598153.97978019710         0.0000000
201019*153155.150  59598115.62115149940         0.0000000
201019*153156.148  59598196.26556059720         0.0000000
201019*153157.146  59598254.12514259670         0.0000000
201019*153158.145  59598186.57309009880         0.0000000
201019*153159.143  59598225.35104560110         0.0000000
201019*153200.142  59598210.67396020140         0.0000000
201019*153201.140  59598229.63684839760         0.0000000
201019*153202.138  59598144.15173249690         0.0000000
201019*153203.152  59598167.38992360230         0.0000000
201019*153204.151  59598112.07081270220         0.0000000
201019*153205.149  59598209.18001739680         0.0000000
201019*153206.148  59598025.64081580190         0.0000000
201019*153207.146  59598145.87157200280         0.0000000
201019*153208.144  59598157.35528510060         0.0000000
201019*153209.143  59598129.70817569640         0.0000000
201019*153210.141  59598191.62366919960         0.0000000
201019*153211.140  59598052.65731710200         0.0000000
201019*153212.138  59598131.59480100120         0.0000000
201019*153213.152  59598150.63275100290         0.0000000
201019*153214.150  59598226.56410159920         0.0000000
201019*153215.149  59598074.87141089890         0.0000000
201019*153216.147  59598126.03149410340         0.0000000
201019*153217.146  59598091.48213099690         0.0000000
201019*153218.144  59598110.51743940260         0.0000000
201019*153219.142  59598125.80446200070         0.0000000
201019*153220.141  59598109.01041030140         0.0000000
201019*153221.139  59598073.90935420240         0.0000000
201019*153222.138  59598100.08392900230         0.0000000
201019*153223.152  59598083.69713979960         0.0000000
201019*153224.150  59598040.30742070080         0.0000000
201019*153225.149  59597939.70898339900         0.0000000
201019*153226.147  59598024.81638100000         0.0000000
201019*153227.145  59598061.20043519880         0.0000000
201019*153228.144  59598042.35361240060         0.0000000
201019*153229.142  59597855.23675969990         0.0000000
201019*153230.141  59597917.58729510010         0.0000000
201019*153231.139  59598053.41619429740         0.0000000
201019*153232.153  59598136.75883500280         0.0000000
201019*153233.151  59597904.64559079710         0.0000000
201019*153234.150  59597899.17118070270         0.0000000
201019*153235.148  59597870.48193740100         0.0000000
201019*153236.147  59597987.77926470340         0.0000000
201019*153237.145  59597982.95198439810         0.0000000
201019*153238.143  59597845.98061709850         0.0000000
201019*153239.142  59597901.88238769770         0.0000000
201019*153240.140  59598056.67421880360         0.0000000
201019*153241.139  59597889.82622060180         0.0000000
201019*153242.153  59597959.25792390110         0.0000000
201019*153243.151  59597914.54257710280         0.0000000
201019*153244.149  59597829.13755279780         0.0000000
201019*153245.148  59597849.84620209780         0.0000000
201019*153246.146  59597898.84380769730         0.0000000
201019*153247.145  59597790.09868259730         0.0000000
201019*153248.143  59597802.96023719760         0.0000000
201019*153249.095  59597798.57980079950         0.0000000
201019*153250.140  59597790.84714370220         0.0000000
201019*153251.138  59597927.26865030080         0.0000000
201019*153252.152  59597849.34025979790         0.0000000
